epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1192,1.01321,3.315,1.3627,0.00337,0.88468,0.24506,0.16954,0.77194,3.10731,1.05234,0.00013336,0.00013336,0.00013336
2,18.4236,0.92885,2.83393,1.26981,0.00397,0.86616,0.38577,0.30027,0.72161,3.06266,1.06851,0.000269362,0.000269362,0.000269362
3,22.1314,0.94947,2.34635,1.25493,0.00372,0.73653,0.30171,0.2185,1.04648,3.03897,1.24296,0.000390511,0.000390511,0.000390511
4,27.0102,1.01253,2.09489,1.32306,0.00297,0.7138,0.26566,0.18544,1.02469,2.93811,1.28249,0.000496808,0.000496808,0.000496808
5,32.6074,1.03578,1.98499,1.29598,0.38987,0.53872,0.39008,0.27845,0.99815,2.79298,1.35712,0.000588251,0.000588251,0.000588251
6,36.1661,1.0531,1.84244,1.33624,0.90123,0.32011,0.45782,0.29287,1.00158,2.55488,1.41078,0.000664841,0.000664841,0.000664841
7,39.6859,0.979,1.66786,1.25912,0.75405,0.45733,0.53282,0.40083,0.96575,2.36099,1.35742,0.000726579,0.000726579,0.000726579
8,44.0677,0.96847,1.56916,1.25702,0.80471,0.51348,0.58886,0.39022,1.01282,2.29528,1.47547,0.000773463,0.000773463,0.000773463
9,50.4201,0.95249,1.54069,1.26653,0.87003,0.49747,0.5854,0.40905,1.12611,2.16365,1.49315,0.000805494,0.000805494,0.000805494
10,54.1479,0.91296,1.52492,1.26533,0.50762,0.45202,0.54268,0.3655,1.13179,2.10727,1.54856,0.000822673,0.000822673,0.000822673
11,59.5309,0.87041,1.85877,1.25402,0.64943,0.57997,0.69388,0.4598,0.95735,2.18735,1.28312,0.000824998,0.000824998,0.000824998
12,65.0182,0.88326,1.84575,1.18083,0.67381,0.6271,0.66938,0.50941,0.9208,1.93639,1.24708,0.000759318,0.000759318,0.000759318
13,69.9176,0.79817,1.67593,1.16928,0.75017,0.61593,0.69664,0.49826,0.97577,1.89216,1.36633,0.000676802,0.000676802,0.000676802
14,73.9008,0.74639,1.51977,1.10887,0.77958,0.63937,0.72332,0.55012,0.89287,1.83187,1.25053,0.000594286,0.000594286,0.000594286
15,77.543,0.75251,1.50945,1.08252,0.83501,0.70249,0.76629,0.60177,0.90411,1.54788,1.22293,0.000511769,0.000511769,0.000511769
16,82.8657,0.71021,1.45986,1.0466,0.90967,0.75084,0.84005,0.70225,0.76565,1.27331,1.09948,0.000429253,0.000429253,0.000429253
17,87.8544,0.65969,1.44632,1.04721,0.93162,0.85253,0.93294,0.75353,0.74382,1.03483,1.07442,0.000346736,0.000346736,0.000346736
18,91.5235,0.66663,1.30469,1.07464,0.9852,0.84636,0.95525,0.76624,0.74565,0.97146,1.05724,0.00026422,0.00026422,0.00026422
19,94.9176,0.67604,1.32959,1.04689,0.98869,0.84578,0.95872,0.78229,0.74549,0.93514,1.06263,0.000181703,0.000181703,0.000181703
20,99.305,0.64853,1.23703,1.03258,0.93511,0.92172,0.97645,0.78807,0.73776,0.90159,1.05618,9.91865e-05,9.91865e-05,9.91865e-05
